1,61,1248,2
1,345,590,3
1,594,1257,3
1,790,1150,2
1,931,461,1
1,1096,1265,1
1,1220,1908,1
1,1878,744,1
2,84,1406,1
2,522,1091,1
2,928,1342,1
2,1218,1847,2
2,1495,1760,1
2,1717,1335,1
2,1768,1242,2
3,122,43,4
3,277,1110,1
3,773,1317,5
3,1196,50,4
3,1638,1351,1
3,1792,1534,3
3,1877,1256,2
3,1994,689,4
4,289,1369,1
4,583,20,4
4,784,1891,4
4,1103,1317,3
4,1596,1985,1
4,1678,1927,1
4,1798,1259,1
5,1,1379,1
5,87,1669,2
5,285,1409,1
5,471,1327,3
5,595,683,1
5,774,1400,1
5,1022,1913,1
5,1802,1667,3
6,99,1452,3
6,224,320,5
6,433,1420,1
6,612,1298,1
6,797,1246,1
6,985,326,2
6,1784,1670,4
7,106,1150,3
7,277,1455,2
7,820,7,3
7,945,1268,2
7,1058,1407,1
7,1162,1902,2
7,1709,1963,3
7,1931,1534,2
8,65,141,1
8,408,1913,1
8,498,4,4
8,788,882,4
8,1177,1295,1
8,1690,147,1
8,1830,1845,1
9,83,1351,2
9,307,1910,2
9,823,1309,3
9,1011,1417,2
9,1137,1402,3
9,1583,1390,3
9,1702,1441,3
9,1917,1418,2
10,73,1031,1
10,350,610,1
10,417,460,1
10,821,1288,1
10,988,1400,1
10,1172,611,1
10,1783,1352,3
11,75,1217,1
11,371,1542,1
11,995,1326,2
11,1129,1894,1
11,1480,543,1
11,1581,1348,2
11,1656,1150,3
11,1974,1907,1
12,74,1314,1
12,236,505,2
12,476,633,2
12,635,1409,2
12,877,1420,1
12,962,1000,2
12,1579,1413,3
13,125,1255,4
13,445,850,1
13,836,1360,4
13,1070,1985,1
13,1201,590,1
13,1565,1977,1
13,1695,1275,1
13,1918,1248,1
14,67,1039,1
14,401,505,1
14,481,323,1
14,668,577,3
14,811,661,1
14,959,1332,3
14,1167,749,2
15,85,1217,1
15,275,1967,2
15,587,1520,1
15,1103,1534,2
15,1234,1285,1
15,1738,1985,2
15,1874,1333,5
15,1961,1348,4
16,140,298,2
16,344,1984,4
16,602,1967,1
16,846,1415,2
16,1162,1841,5
16,1699,172,2
16,1737,1568,2
17,51,954,3
17,353,606,5
17,473,1260,5
17,575,1296,4
17,667,807,2
17,753,32,3
17,1170,459,4
17,1741,3,3
18,174,849,3
18,337,1309,4
18,614,1460,4
18,941,1333,4
18,1214,221,3
18,1496,452,3
18,1702,1358,4
19,52,238,2
19,129,1300,1
19,228,435,1
19,471,610,1
19,538,197,3
19,812,1396,2
19,959,234,3
19,1694,1476,4
20,166,1287,4
20,265,1458,4
20,474,1445,2
20,660,457,3
20,952,1837,4
20,1023,953,3
20,1781,1845,2
21,79,849,1
21,619,1242,1
21,903,1689,4
21,1084,1350,1
21,1639,1257,1
21,1748,1541,1
21,1875,1439,2
21,1961,1317,1
22,86,1410,1
22,255,993,3
22,483,843,1
22,706,1386,1
22,916,328,5
22,1491,577,1
22,1784,885,1
23,36,1091,1
23,421,1430,1
23,837,1344,1
23,1049,453,4
23,1156,592,1
23,1692,1380,4
23,1929,1841,4
23,1975,341,1
24,127,435,2
24,475,835,2
24,552,1287,3
24,776,194,1
24,905,328,2
24,1052,1923,1
24,1642,1031,3
25,1,1038,1
25,117,324,1
25,348,749,1
25,566,1337,1
25,753,455,3
25,911,459,4
25,1500,1923,1
25,1789,1457,1
26,91,1668,2
26,243,306,3
26,500,1040,3
26,603,1445,2
26,704,950,2
26,806,656,2
26,1021,1413,3
27,26,1215,3
27,193,453,3
27,755,1317,4
27,920,1442,3
27,1187,262,3
27,1570,744,2
27,1686,1450,4
27,1878,1950,3
28,64,17,3
28,365,1379,2
28,582,748,3
28,646,136,2
28,909,460,1
28,1178,1191,4
28,1602,1547,4
29,2,1426,1
29,209,1287,2
29,438,775,4
29,553,993,4
29,867,807,2
29,1178,33,1
29,1588,1341,1
29,1843,1445,1
30,193,1892,4
30,442,1883,5
30,980,1986,1
30,1099,1357,3
30,1187,1406,4
30,1565,1891,2
30,1755,1323,4
31,140,1368,4
31,345,1268,1
31,714,1090,3
31,804,1425,4
31,1080,1962,1
31,1139,1469,1
31,1539,203,1
31,1853,698,2
32,274,1376,2
32,568,1165,2
32,820,913,1
32,974,1258,1
32,1472,1893,1
32,1696,1360,1
32,1840,1364,1
33,39,147,3
33,67,148,3
33,211,1547,3
33,348,456,3
33,486,1669,1
33,759,1278,1
33,856,198,2
33,986,992,1
34,169,1181,1
34,344,38,3
34,623,1270,2
34,946,1540,4
34,1498,176,1
34,1597,1250,2
34,1822,1568,1
35,26,190,1
35,307,383,1
35,720,967,4
35,970,1892,1
35,1675,1393,1
35,1700,452,2
35,1759,1305,1
35,1901,1899,1
36,205,7,4
36,540,1890,4
36,978,1456,1
36,1099,1251,3
36,1562,1262,1
36,1688,1819,1
36,1735,462,3
37,62,884,1
37,127,1271,1
37,312,1428,2
37,533,977,2
37,654,1298,1
37,905,1337,4
37,1499,1312,1
37,1843,1299,2
38,129,775,2
38,313,1315,3
38,491,232,4
38,788,58,4
38,897,1386,3
38,1501,950,3
38,1733,680,3
39,72,321,3
39,257,153,3
39,532,198,1
39,580,1038,2
39,715,506,2
39,904,652,2
39,1050,334,1
39,1632,1958,2
40,54,958,2
40,219,529,1
40,396,155,5
40,480,1703,1
40,616,1915,2
40,856,1426,1
40,1711,1320,1
41,36,1883,5
41,191,545,2
41,684,1404,2
41,1096,13,4
41,1570,1576,1
41,1735,1455,5
41,1743,1371,5
41,1796,1962,5
42,210,1266,1
42,284,1413,2
42,603,385,4
42,772,634,2
42,883,6,4
42,1641,1452,2
42,1832,196,4
43,36,1323,4
43,804,1439,3
43,945,1892,1
43,1096,1577,3
43,1550,1942,2
43,1606,1289,4
43,1729,1342,3
43,1943,1276,3
44,446,1544,1
44,642,1348,1
44,872,1179,1
44,1070,1942,1
44,1129,1291,5
44,1566,11,1
44,1715,1425,1
45,36,341,2
45,336,1152,1
45,695,1179,1
45,846,1356,1
45,1010,1893,3
45,1605,1750,1
45,1684,1373,4
45,1995,10,1
46,314,592,3
46,501,1259,2
